City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,Saint George,37.1041,-113.5841,67.42,28,0,3.44,US,2022-04-17 16:41:01
92,Paamiut,61.994,-49.6678,29.41,77,100,5.21,GL,2022-04-17 16:44:46
93,Kampong Thum,12.7111,104.8887,80.04,79,97,1.52,KH,2022-04-17 16:44:47
94,Omsukchan,62.5333,155.8,9.9,97,100,3.49,RU,2022-04-17 16:44:47
95,Ponta Do Sol,32.6667,-17.1,76.12,39,100,12.17,PT,2022-04-17 16:44:47
96,Kahului,20.8947,-156.47,73.85,76,40,5.75,US,2022-04-17 16:44:48
97,Kavaratti,10.5669,72.642,84.74,71,12,7.34,IN,2022-04-17 16:44:48
98,Hovd,48.0056,91.6419,45.27,23,0,2.01,MN,2022-04-17 16:44:48
99,New Norfolk,-42.7826,147.0587,60.66,59,100,3.0,AU,2022-04-17 16:43:50
100,Georgetown,5.4112,100.3354,82.33,88,40,3.44,MY,2022-04-17 16:42:34
101,San Cristobal,7.7669,-72.225,68.18,95,100,2.04,VE,2022-04-17 16:44:49
102,Fort Nelson,58.8053,-122.7002,9.99,79,100,9.22,CA,2022-04-17 16:44:49
103,La Guacamaya,15.25,-87.8,76.75,44,71,2.19,HN,2022-04-17 16:44:49
104,Truro,50.2653,-5.0544,56.48,88,75,10.36,GB,2022-04-17 16:44:50
105,Lasa,46.6166,10.7002,59.88,71,73,5.44,IT,2022-04-17 16:44:50
106,Port Elizabeth,-33.918,25.5701,65.1,93,20,9.22,ZA,2022-04-17 16:44:51
107,Hithadhoo,-0.6,73.0833,83.48,75,65,7.78,MV,2022-04-17 16:40:30
108,Pevek,69.7008,170.3133,2.23,94,100,2.1,RU,2022-04-17 16:44:51
109,Beloha,-25.1667,45.05,73.99,84,59,14.12,MG,2022-04-17 16:44:51
110,Srandakan,-7.9386,110.2506,78.58,88,100,3.31,ID,2022-04-17 16:44:52
111,Fomboni,-12.28,43.7425,83.75,69,16,14.47,KM,2022-04-17 16:44:52
112,Sosnovo-Ozerskoye,52.5249,111.5418,35.4,88,50,8.72,RU,2022-04-17 16:44:52
113,Ushuaia,-54.8,-68.3,45.57,95,100,9.1,AR,2022-04-17 16:40:38
