City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
279,Ordzhonikidze,52.4411,61.7408,44.82,66,100,5.66,KZ,overcast clouds
280,Khatanga,71.9667,102.5,4.91,96,98,12.19,RU,overcast clouds
281,Aswan,24.0934,32.907,85.3,17,0,2.3,EG,clear sky
282,Kiruna,67.8557,20.2251,34.72,93,100,2.3,SE,overcast clouds
283,Letterkenny,54.95,-7.7333,45.7,93,97,9.66,IE,overcast clouds
284,Comodoro Rivadavia,-45.8667,-67.5,67.86,40,0,9.22,AR,clear sky
285,Fortuna,40.5982,-124.1573,59.94,54,20,12.66,US,few clouds
286,Zhanaozen,43.3,52.8,54.72,55,0,7.34,KZ,clear sky
287,Pacific Grove,36.6177,-121.9166,69.39,67,0,11.5,US,clear sky
288,Lady Frere,-31.7031,27.2329,51.42,85,9,3.24,ZA,clear sky
289,Beroroha,-21.6667,45.1667,73.56,72,42,3.87,MG,scattered clouds
290,Margate,51.3813,1.3862,52.3,76,100,1.99,GB,overcast clouds
291,Roma,43.2128,-75.4557,44.82,47,20,14.97,US,few clouds
292,Bilibino,68.0546,166.4372,20.93,86,99,1.28,RU,overcast clouds
293,Banda Aceh,5.5577,95.3222,78.37,81,87,4.54,ID,overcast clouds
294,Cochabamba,-17.3895,-66.1568,69.55,37,40,14.97,BO,scattered clouds
295,Salalah,17.0151,54.0924,78.55,87,20,2.73,OM,few clouds
296,Cairns,-16.9167,145.7667,80.55,83,40,8.05,AU,scattered clouds
297,Menongue,-14.6585,17.691,62.01,96,18,3.74,AO,few clouds
298,Souillac,-20.5167,57.5167,77.38,94,75,0.0,MU,broken clouds
299,Barcelos,41.5388,-8.6151,59.85,87,2,6.51,PT,clear sky
300,Sandpoint,48.2766,-116.5533,45.86,66,75,1.99,US,broken clouds
301,Isetskoye,56.4858,65.3226,32.81,74,73,2.17,RU,broken clouds
302,Strezhevoy,60.7333,77.5889,13.64,98,52,3.98,RU,broken clouds
303,Prado,-17.3411,-39.2208,76.98,69,100,11.72,BR,overcast clouds
304,Olafsvik,64.8945,-23.7142,42.04,68,96,10.02,IS,overcast clouds
305,Hazorasp,41.3194,61.0742,55.24,43,100,15.66,UZ,overcast clouds
306,Birao,10.2849,22.7882,85.71,43,81,7.0,CF,broken clouds
307,Cherskiy,68.75,161.3,12.65,85,100,5.12,RU,overcast clouds
308,Hanmer Springs,-42.5167,172.8167,62.44,45,1,2.01,NZ,clear sky
309,La Asuncion,11.0333,-63.8628,82.13,69,100,19.57,VE,overcast clouds
310,Oranjemund,-28.55,16.4333,59.09,76,0,7.38,NA,clear sky
311,Armidale,-30.5167,151.65,60.31,68,5,2.17,AU,clear sky
312,Kruisfontein,-34.0033,24.7314,58.89,82,25,4.9,ZA,scattered clouds
313,Presque Isle,46.6811,-68.0159,43.23,61,100,3.44,US,overcast clouds
314,Jardim,-21.4803,-56.1381,70.12,58,97,3.56,BR,overcast clouds
315,Manaure,11.7751,-72.4445,85.57,58,100,15.55,CO,overcast clouds
316,Inongo,-1.95,18.2667,73.02,96,100,1.28,CD,moderate rain
317,Ler,8.3018,30.1418,83.1,46,9,4.18,SS,clear sky
318,Kulhudhuffushi,6.6221,73.07,83.61,75,100,9.13,MV,overcast clouds
319,Rudnogorsk,57.2639,103.7519,40.95,95,100,7.27,RU,overcast clouds
320,Ous,60.9058,61.5186,20.86,91,11,5.61,RU,few clouds
321,Gold Coast,-28.0,153.4333,74.03,70,100,6.91,AU,overcast clouds
322,Paamiut,61.994,-49.6678,26.38,81,99,1.43,GL,overcast clouds
323,Sangmelima,2.9333,11.9833,69.31,99,100,1.86,CM,moderate rain
324,Butembo,0.15,29.2833,57.51,90,18,3.65,CD,few clouds
325,Vence,43.7216,7.1123,57.07,67,75,3.44,FR,broken clouds
326,Jaen,38.0,-3.5,67.93,55,100,4.88,ES,overcast clouds
327,Ust-Kuyga,70.0167,135.6,11.71,89,74,5.26,RU,broken clouds
328,Minna,9.6139,6.5569,78.3,76,100,5.75,NG,light rain
329,Kuching,1.55,110.3333,77.22,94,40,3.0,MY,scattered clouds
330,Arman,59.7,150.1667,28.02,73,100,2.53,RU,overcast clouds
331,Ugoofaaru,5.6667,73.0,83.73,75,100,8.72,MV,overcast clouds
332,Inirida,3.8653,-67.9239,75.2,95,96,3.56,CO,overcast clouds
333,Sandy Bay,-42.913,147.3532,56.3,92,75,5.75,AU,broken clouds
334,Kagadi,0.9606,30.7967,63.86,90,94,4.59,UG,overcast clouds
335,Baijiantan,45.6333,85.1833,55.92,16,0,5.41,CN,clear sky
336,Yerbogachen,61.2767,108.0108,35.22,82,97,12.91,RU,overcast clouds
337,Celestun,20.8667,-90.4,82.22,70,0,16.73,MX,clear sky
338,San Cristobal,7.7669,-72.225,75.38,96,97,3.22,VE,overcast clouds
339,Fukuma,33.7667,130.4667,57.15,57,100,2.73,JP,overcast clouds
340,Jacareacanga,-6.2222,-57.7528,73.54,98,82,1.52,BR,broken clouds
341,Sakakah,29.9697,40.2064,69.37,14,0,7.02,SA,clear sky
342,Vostok,46.4856,135.8833,34.97,59,20,7.25,RU,few clouds
343,Jermuk,39.8417,45.6723,33.24,63,33,3.29,AM,scattered clouds
344,Bauchi,10.5,10.0,77.56,68,98,8.39,NG,light rain
345,Danjiangkou,32.5428,111.5086,51.94,77,85,8.19,CN,overcast clouds
346,Pisco,-13.7,-76.2167,68.05,73,0,20.71,PE,clear sky
347,Hobyo,5.3505,48.5268,82.98,77,66,14.05,SO,light rain
348,Nome,64.5011,-165.4064,30.27,86,100,19.57,US,light snow
349,Stephenville,32.2207,-98.2023,84.33,27,0,5.75,US,clear sky
350,Severnoye,56.3491,78.3619,34.23,82,15,1.25,RU,few clouds
351,Folldal,62.1325,9.9968,30.49,67,96,3.27,NO,overcast clouds
352,Palasa,18.7667,84.4167,79.14,78,94,7.38,IN,overcast clouds
353,Sioux Lookout,50.1001,-91.917,26.67,74,100,11.5,CA,mist
354,Uruzgan,32.8333,66.0,60.98,56,99,7.16,AF,overcast clouds
355,Hanyang,32.1371,105.5126,48.63,93,100,1.81,CN,overcast clouds
356,Tatawin,32.9297,10.4518,62.38,62,95,11.32,TN,light rain
357,Mareeba,-17.0,145.4333,75.92,80,98,3.13,AU,overcast clouds
358,Port Blair,11.6667,92.75,80.62,76,83,2.66,IN,broken clouds
359,Villa Carlos Paz,-31.4241,-64.4978,66.4,57,55,3.47,AR,broken clouds
360,Skjervoy,70.0311,20.9714,37.4,90,100,8.84,NO,light rain
361,Cabo San Lucas,22.8909,-109.9124,92.61,49,49,9.89,MX,scattered clouds
362,Chokurdakh,70.6333,147.9167,8.28,93,82,4.21,RU,broken clouds
363,Hambantota,6.1241,81.1185,79.38,85,87,8.9,LK,overcast clouds
364,Wakkanai,45.4094,141.6739,44.02,68,100,16.4,JP,overcast clouds
365,Paracuru,-3.41,-39.0306,82.11,87,100,6.38,BR,overcast clouds
366,Isangel,-19.55,169.2667,82.06,74,100,1.61,VU,moderate rain
367,Ancud,-41.8697,-73.8203,55.22,86,100,4.74,CL,overcast clouds
368,San Jeronimo,-11.9472,-75.2829,54.01,71,32,4.18,PE,scattered clouds
369,Coquimbo,-29.9533,-71.3436,56.93,88,40,6.91,CL,scattered clouds
370,Salinopolis,-0.6136,-47.3561,78.15,87,100,7.14,BR,moderate rain
371,Umm Lajj,25.0213,37.2685,83.84,31,100,10.45,SA,overcast clouds
372,Avera,33.194,-82.5271,77.05,68,100,5.73,US,overcast clouds
373,Chumikan,54.7183,135.315,25.68,86,40,9.13,RU,scattered clouds
374,Hervey Bay,-25.2986,152.8535,72.01,79,79,7.0,AU,broken clouds
375,Fort Nelson,58.8053,-122.7002,18.99,49,75,2.3,CA,broken clouds
376,Marsa Matruh,31.3525,27.2453,64.6,72,85,18.41,EG,sand
377,Cap Malheureux,-19.9842,57.6142,75.47,91,30,3.0,MU,scattered clouds
378,Sadasivpet,17.6212,77.9503,79.7,56,65,7.92,IN,broken clouds
379,Sur,22.5667,59.5289,85.17,52,3,10.6,OM,clear sky
380,Tiznit,29.5833,-9.5,73.42,23,100,1.1,MA,overcast clouds
381,Plouzane,48.3833,-4.6167,52.12,96,75,5.75,FR,broken clouds
382,Sistranda,63.7256,8.834,44.56,78,84,6.8,NO,broken clouds
383,Mantua,45.1667,10.7833,50.95,66,45,2.04,IT,scattered clouds
